code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
DC131,Communication Studies,421.0,479.0,no,402.0,451.0,no,400.0,441.0,no
DC132,Journalism,452.0,487.0,no,422.0,466.0,no,401.0,440.0,no
DC133,Multimedia,435.0,473.0,no,410.0,451.0,no,403.0,451.0,no
DC155,Applied Language and Translation Studies,431.0,476.0,no,387.0,444.0,no,371.0,430.0,no
DC161,Analytical Science,498.0,521.0,no,489.0,510.0,no,446.0,463.0,no
DC162,Chemical and Pharmaceutical Sciences,532.0,543.0,no,521.0,544.0,no,488.0,498.0,no
DC163,Chemical Sciences General Entry (Undenominated Entry),466.0,510.0,no,,,,,,
DC166,Environmental Science and Technology,423.0,466.0,no,399.0,441.0,no,412.0,442.0,no
DC168,Genetics and Cell Biology,543.0,555.0,no,510.0,529.0,no,489.0,500.0,no
DC175,Physics General Entry (options),400.0,479.0,no,402.0,467.0,no,,,
DC180,Biological Sciences General Entry (Undenominated Entry),530.0,543.0,no,,,,,,
DC181,Biotechnology,530.0,544.0,no,495.0,511.0,no,476.0,488.0,no
DC190,Electronic and Computer Engineering (with choice of four majors),488.0,532.0,no,413.0,465.0,no,391.0,433.0,no
DC193,Mechatronic Engineering,490.0,532.0,no,411.0,487.0,no,404.0,445.0,no
DC194,Sustainable Systems and Energy,488.0,509.0,no,,,,,,
DC195,Mechanical and Manufacturing Engineering,500.0,521.0,no,425.0,487.0,no,401.0,444.0,no
DC197,Biomedical Engineering,510.0,543.0,no,423.0,477.0,no,402.0,446.0,no
DC200,Common Entry into Engineering (Undenominated Entry),510.0,543.0,no,422.0,487.0,no,381.0,444.0,no
DC202,Sport Science and Health,511.0,532.0,no,498.0,521.0,no,467.0,476.0,no
DC203,Science Education,462.0,509.0,no,435.0,487.0,no,424.0,476.0,no
DC204,Athletic Therapy and Training,558.0,578.0,no,519.0,533.0,no,484.0,500.0,no
DC205,Physical Education with Biology,565.0,578.0,no,531.0,553.0,no,490.0,521.0,no
DC206,Physical Education with Mathematics,521.0,544.0,no,499.0,520.0,no,443.0,476.0,no
DC207,Psychology and Mathematics,521.0,543.0,no,,,,,,
DC208,Psychology,565.0,577.0,no,521.0,533.0,no,509.0,521.0,no
DC209,Health and Society,477.0,509.0,no,440.0,466.0,no,419.0,440.0,no
DC210,Psychology and Disruptive Technologies,506.0,532.0,no,,,,,,
DC215,General Nursing,456.0,485.0,no,433.0,462.0,no,414.0,443.0,no
DC216,Mental Health Nursing,420.0,440.0,no,403.0,424.0,no,368.0,389.0,no
DC217,Intellectual Disability Nursing,382.0,402.0,no,370.0,390.0,no,347.0,362.0,no
DC218,Children`s and General Nursing (Integrated),521.0,554.0,no,498.0,522.0,no,467.0,480.0,no
DC230,"Economics, Politics and Law",431.0,468.0,no,435.0,462.0,no,400.0,431.0,no
DC231,International Relations,399.0,458.0,no,397.0,433.0,no,387.0,445.0,no
DC232,Law and Society (BCL),469.0,511.0,no,466.0,496.0,no,453.0,487.0,no
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),302.0,370.0,no,309.0,357.0,no,307.0,327.0,no
DC238,Social Sciences and Cultural Innovation,387.0,440.0,no,377.0,411.0,no,358.0,388.0,no
DC240,"Marketing, Innovation and Technology",499.0,532.0,no,474.0,498.0,no,451.0,474.0,no
DC241,Digital Business and Innovation,509.0,533.0,no,,,,,,
DC291,Arts (Joint Honours) - Media Studies,350.0,440.0,no,376.0,409.0,no,349.0,392.0,no
DC292,Arts (Joint Honours) - Law,400.0,440.0,no,403.0,430.0,no,356.0,388.0,no
DC293,Arts (Joint Honours) - International Languages,379.0,467.0,no,377.0,466.0,no,369.0,400.0,no
DC294,Climate and Environmental Sustainability,475.0,489.0,no,,,,,,
DC295,Arts (Joint Honours) - Politics,349.0,409.0,no,376.0,409.0,no,348.0,387.0,no
DL822,Arts Management,254.0,356.0,no,235.0,337.0,no,209.0,319.0,no
DL823,Business Management,220.0,318.0,no,237.0,325.0,no,260.0,316.0,no
DL825,Applied Psychology,413.0,462.0,no,379.0,434.0,no,349.0,413.0,no
DL826,Graphic Design,591.0,824.0,yes,855.0,1024.0,yes,736.0,989.0,yes
DL827,Art,574.0,906.0,yes,572.0,941.0,yes,583.0,902.0,yes
DL832,Animation,989.0,1098.0,yes,920.0,1022.0,yes,855.0,1055.0,yes
DL833,Photography and Visual Media,665.0,877.0,yes,667.0,854.0,yes,636.0,791.0,yes
DL836,Creative Computing,235.0,339.0,no,219.0,300.0,no,217.0,326.0,no
DL837,New Media Studies,293.0,359.0,no,201.0,316.0,no,290.0,349.0,no
DL838,Creative Music Production,713.0,979.0,yes,754.0,972.0,yes,746.0,873.0,yes
DL839,Interaction and User Experience Design,757.0,1087.0,yes,683.0,990.0,yes,,,
DL840,Digital Marketing,210.0,347.0,no,228.0,327.0,no,,,
DL841,English and Equality Studies,277.0,357.0,no,276.0,341.0,no,,,
DL843,Film,874.0,1000.0,yes,,,,,,
DL844,Television,566.0,947.0,yes,,,,,,
DL845,Design for Film (degree options),630.0,900.0,yes,,,,,,
GC200,Business,242.0,377.0,no,252.0,369.0,no,269.0,359.0,no
GC201,Accounting and Finance,226.0,270.0,no,303.0,388.0,no,251.0,388.0,no
GC230,Computing Science,289.0,351.0,no,325.0,393.0,no,228.0,327.0,no
GC250,Communications and Media Production,0.0,0.0,no,0.0,0.0,no,,,
GC300,Business,264.0,377.0,no,390.0,432.0,no,251.0,302.0,no
GC301,Accounting and Finance,251.0,251.0,no,253.0,346.0,no,307.0,314.0,no
GC302,Business - HRM,329.0,377.0,no,0.0,0.0,no,269.0,269.0,no
GC307,Business (Marketing),270.0,289.0,no,,,,,,
GC400,Business,228.0,318.0,no,248.0,281.0,no,246.0,297.0,no
